DATAFLOW,LAST UPDATE,freq,reporter,partner,product,flow,indicators,TIME_PERIOD,OBS_VALUE
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BD,090111,1,QUANTITY_IN_100KG,2023,0.01,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BD,090121,1,QUANTITY_IN_100KG,2023,0.15,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BD,090122,1,QUANTITY_IN_100KG,2023,0.05,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BD,TOTAL,1,QUANTITY_IN_100KG,2013,9476500.29,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BD,TOTAL,1,QUANTITY_IN_100KG,2023,13315626.80,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,090111,1,QUANTITY_IN_100KG,2013,639481.36,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,090111,1,QUANTITY_IN_100KG,2023,1747729.90,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,090112,1,QUANTITY_IN_100KG,2013,7123.78,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,090112,1,QUANTITY_IN_100KG,2023,10757.15,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,090121,1,QUANTITY_IN_100KG,2013,514676.92,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,090121,1,QUANTITY_IN_100KG,2023,359053.37,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,090122,1,QUANTITY_IN_100KG,2013,15084.91,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,090122,1,QUANTITY_IN_100KG,2023,16778.42,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,09019010,1,QUANTITY_IN_100KG,2013,1.63,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,09019010,1,QUANTITY_IN_100KG,2023,1983.95,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,09019090,1,QUANTITY_IN_100KG,2013,1964.45,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,09019090,1,QUANTITY_IN_100KG,2023,784.59,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,TOTAL,1,QUANTITY_IN_100KG,2013,1721142668.75,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BE,TOTAL,1,QUANTITY_IN_100KG,2023,1707628811.19,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BF,090111,1,QUANTITY_IN_100KG,2023,0.21,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BF,090112,1,QUANTITY_IN_100KG,2023,0.01,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BF,090121,1,QUANTITY_IN_100KG,2023,0.00,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BF,09019090,1,QUANTITY_IN_100KG,2023,0.04,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BF,TOTAL,1,QUANTITY_IN_100KG,2013,351567.18,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BF,TOTAL,1,QUANTITY_IN_100KG,2023,563547.73,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,090111,1,QUANTITY_IN_100KG,2013,6348.43,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,090111,1,QUANTITY_IN_100KG,2023,2094.40,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,090112,1,QUANTITY_IN_100KG,2013,405.65,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,090112,1,QUANTITY_IN_100KG,2023,261.22,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,090121,1,QUANTITY_IN_100KG,2013,46826.77,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,090121,1,QUANTITY_IN_100KG,2023,106625.07,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,090122,1,QUANTITY_IN_100KG,2013,28.38,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,090122,1,QUANTITY_IN_100KG,2023,391.80,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,09019010,1,QUANTITY_IN_100KG,2023,0.02,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,09019090,1,QUANTITY_IN_100KG,2013,394.48,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,09019090,1,QUANTITY_IN_100KG,2023,611.53,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,TOTAL,1,QUANTITY_IN_100KG,2013,109887038.95,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BG,TOTAL,1,QUANTITY_IN_100KG,2023,158918625.51,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BH,090111,1,QUANTITY_IN_100KG,2023,0.01,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BH,090112,1,QUANTITY_IN_100KG,2013,0.00,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BH,090121,1,QUANTITY_IN_100KG,2023,0.02,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BH,TOTAL,1,QUANTITY_IN_100KG,2013,10523545.49,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BH,TOTAL,1,QUANTITY_IN_100KG,2023,11596934.57,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BI,090111,1,QUANTITY_IN_100KG,2013,115303.22,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BI,090111,1,QUANTITY_IN_100KG,2023,82863.49,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BI,090112,1,QUANTITY_IN_100KG,2023,0.01,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BI,090121,1,QUANTITY_IN_100KG,2023,0.30,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BI,090122,1,QUANTITY_IN_100KG,2023,0.07,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BI,09019010,1,QUANTITY_IN_100KG,2023,0.01,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BI,09019090,1,QUANTITY_IN_100KG,2013,0.01,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BI,09019090,1,QUANTITY_IN_100KG,2023,0.08,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BI,TOTAL,1,QUANTITY_IN_100KG,2013,124631.31,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BI,TOTAL,1,QUANTITY_IN_100KG,2023,84980.21,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BJ,090112,1,QUANTITY_IN_100KG,2023,0.03,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BJ,090121,1,QUANTITY_IN_100KG,2023,0.02,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BJ,09019010,1,QUANTITY_IN_100KG,2023,0.00,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BJ,09019090,1,QUANTITY_IN_100KG,2023,0.01,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BJ,TOTAL,1,QUANTITY_IN_100KG,2013,309462.09,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BJ,TOTAL,1,QUANTITY_IN_100KG,2023,294102.90,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BL,TOTAL,1,QUANTITY_IN_100KG,2013,705.24,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BL,TOTAL,1,QUANTITY_IN_100KG,2023,10111.73,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BM,TOTAL,1,QUANTITY_IN_100KG,2013,41909.21,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BM,TOTAL,1,QUANTITY_IN_100KG,2023,31227.98,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BN,090111,1,QUANTITY_IN_100KG,2013,23.40,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BN,TOTAL,1,QUANTITY_IN_100KG,2013,4858.87,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BN,TOTAL,1,QUANTITY_IN_100KG,2023,3986.97,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BO,090111,1,QUANTITY_IN_100KG,2013,15677.17,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BO,090111,1,QUANTITY_IN_100KG,2023,9461.52,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BO,090112,1,QUANTITY_IN_100KG,2023,0.16,
ESTAT:DS-045409(1.0),18/11/24 11:00:00,A,EU27_2020,BO,090121,1,QUANTITY_IN_100KG,2013,25.61,
